Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
The Last Baguette Theatre company CIC,King Arthur tour & Wiltshire participation programme,"£19,928",15-Feb-22,February,Q4,South West,Wiltshire,Theatre,"Below £30,000"
Eva Recacha Garcia,Because I Can,"£10,227",15-Feb-22,February,Q4,London,Hackney,Dance,"Below £30,000"
Kings Place Music Foundation,Singing Together,"£15,000",15-Feb-22,February,Q4,London,Islington,Music,"Below £30,000"
Simon Roberts,BeatGeek 2022,"£29,488",15-Feb-22,February,Q4,London,Camden,Music,"Below £30,000"
Brave New Worlds,Confinement - Maternal Mental Health Outdoor Performance Project,"£29,768",15-Feb-22,February,Q4,London,Waltham Forest,Theatre,"Below £30,000"
Culture Unite,Asian Dance Festival 2022,"£30,000",16-Feb-22,February,Q4,South East,Slough,Dance,"Below £30,000"
Melissa Johns,MELISSA JOHNS SNATCHED TOUR 2022,"£37,551",16-Feb-22,February,Q4,North,Salford,Theatre,"Below £30,000"
Writers' Block North East,Writers' Block North East: Revised and Expanded,"£20,088",16-Feb-22,February,Q4,North,Middlesbrough,Literature,"Below £30,000"
Vacuum Theatre CIC,New Play 'King Baby' Further R&D,"£30,195",16-Feb-22,February,Q4,South East,Dacorum,Theatre,"Below £30,000"
Play Nicely Theatre,Splinter,"£13,914",16-Feb-22,February,Q4,South East,Huntingdonshire,Theatre,"Below £30,000"
Indigo Moon Theatre,Unfolding Horizons Phase 2 (SEEDHEART),"£10,450",16-Feb-22,February,Q4,North,"Kingston upon Hull, City of",Theatre,"Below £30,000"
Conrad Williams Bird,Holy Moly & The Crackers: Album recording and production,"£24,193",16-Feb-22,February,Q4,North,Newcastle upon Tyne,Music,"Below £30,000"
Hannah Murphy,Gamble,"£27,660",16-Feb-22,February,Q4,North,Newcastle upon Tyne,Theatre,"Below £30,000"
Proud and Loud Arts,Accessible Pathways,"£70,905",16-Feb-22,February,Q4,North,Salford,Combined arts,"Below £30,000"
Nene Park Trust,Peterborough Celebrates,"£30,000",16-Feb-22,February,Q4,South East,Peterborough,Combined arts,"Below £30,000"
Joshua Pickering,Houdini Tour,"£15,000",16-Feb-22,February,Q4,South East,East Suffolk,Theatre,"Below £30,000"
Smoking Apples Theatre Limited,Smoking Apples: Developing our People and Places - Resubmission,"£34,725",16-Feb-22,February,Q4,South East,Folkestone and Hythe,Theatre,"Below £30,000"
Peter Morton,Breathe 2022,"£22,250",16-Feb-22,February,Q4,South East,Canterbury,Theatre,"Below £30,000"
Open Art Box CIC,North Herts Discoveries,"£7,705",16-Feb-22,February,Q4,South East,North Hertfordshire,Museums,"Below £30,000"
Benjamin Storey,The Boy and the Seahorse,"£11,273",16-Feb-22,February,Q4,North,Newcastle upon Tyne,Theatre,"Below £30,000"
Laurence Owen,Mockery Manor,"£23,648",16-Feb-22,February,Q4,South East,Norwich,Literature,"Below £30,000"
Deborah Bennett,S.O.E Tour 2022,"£26,714",16-Feb-22,February,Q4,South East,Ashford,Theatre,"Below £30,000"
Emma Brewer,All About the Vision,"£25,951",16-Feb-22,February,Q4,South East,Waverley,Dance,"Below £30,000"
Imagination Dance CIC,Chance to Dance,"£16,720",16-Feb-22,February,Q4,South East,Central Bedfordshire,Dance,"Below £30,000"
Rebekah Okpoti,The Organs of Anne Lister,"£12,000",16-Feb-22,February,Q4,North,Blackburn with Darwen,Music,"Below £30,000"
ExploreTheArch,Delivery of #ATownExploresABook22 exploring Rumer Godden's The Diddakoi on its 50th anniversary,"£29,984",16-Feb-22,February,Q4,South East,Hastings,Literature,"Below £30,000"
Highly Sprung Performance Company CIO,CastAway and CYPC,"£45,460",17-Feb-22,February,Q4,Midlands,Coventry,Combined arts,Touring
Christoph Paulweber,Continuation: Lucky Pigeons - UK Tour,"£48,427",17-Feb-22,February,Q4,London,Tower Hamlets,Combined arts,Touring
The Rush Theatre Company,RUSH A Joyous Jamaican Journey,"£61,769",17-Feb-22,February,Q4,Midlands,Wolverhampton,Theatre,Touring
Ifa Yoruba Contemporary Arts Trust,The Orisa Tales,"£30,000",17-Feb-22,February,Q4,Midlands,Birmingham,Combined arts,"Below £30,000"
Mir Jansen,New Beginnings 2022,"£28,500",17-Feb-22,February,Q4,Midlands,High Peak,Combined arts,"Below £30,000"
Shazia Osman,In Praise Exhibition,"£14,365",17-Feb-22,February,Q4,Midlands,Harborough,Combined arts,"Below £30,000"
Kisala Kalebe,Youth Sounds and Arts in the City,"£16,160",17-Feb-22,February,Q4,Midlands,Sandwell,Music,"Below £30,000"
BeatFeet Limited,Kaira Kafo,"£18,808",17-Feb-22,February,Q4,Midlands,Rushcliffe,Dance,"Below £30,000"
Heidi Murphy,Beyond Relaxed: Phase 1,"£25,500",17-Feb-22,February,Q4,Midlands,Birmingham,Literature,"Below £30,000"
Worcester Live Charitable Trust Ltd,Saucy,"£23,617",17-Feb-22,February,Q4,Midlands,Worcester,Theatre,"Below £30,000"
Purple Theatre,Much Ado/Hero's Song - stage 2 - make and preview,"£11,634",21-Feb-22,February,Q4,Midlands,North West Leicestershire,Theatre,"Below £30,000"
Shon Dale-Jones,STILL FLOATING,"£29,900",21-Feb-22,February,Q4,South West,"Bristol, City of",Theatre,"Below £30,000"
Common Players Theatre,Summer in Wonderland,"£29,991",21-Feb-22,February,Q4,South West,Mid Devon,Theatre,"Below £30,000"
Number Eleven Arts,44875,"£30,000",21-Feb-22,February,Q4,Midlands,Birmingham,Combined arts,"Below £30,000"
Spork! Poetry,Spork! 2022,"£29,571",21-Feb-22,February,Q4,South West,Exeter,Literature,"Below £30,000"
Lightbox Theatre Productions,This Place,"£7,240",21-Feb-22,February,Q4,South West,"Bristol, City of",Theatre,"Below £30,000"
Platform Thirty1 Limited,Lean On 2022,"£31,500",21-Feb-22,February,Q4,Midlands,Bolsover,Combined arts,"Below £30,000"
Running Dog Theatre CIC,The Goat Show - Co-Creating Community Engaged Touring,"£35,242",21-Feb-22,February,Q4,South West,Exeter,Theatre,"Below £30,000"
Vehicle Arts,Up Your High Street,"£23,728",21-Feb-22,February,Q4,Midlands,Charnwood,Visual arts,"Below £30,000"
Michael Redmond,The Beautifully Mundane,"£4,750",21-Feb-22,February,Q4,South West,Cornwall,Visual arts,"Below £30,000"
Dick Souray,SproutSpoken 2022,"£28,820",21-Feb-22,February,Q4,South West,Cornwall,Combined arts,"Below £30,000"
Van Gogh House & Gallery,A Letter to a Ghost,"£9,430",22-Feb-22,February,Q4,London,Lambeth,Literature,"Below £30,000"
Raucous,The Lantern Room R&D,"£49,995",22-Feb-22,February,Q4,South West,"Bristol, City of",Theatre,"Over £30,000"
Olivia Furber,The Lands Heart is Greater than its Map Tour 2022,"£18,975",22-Feb-22,February,Q4,London,Lewisham,Theatre,"Below £30,000"
Fuse Performance,Mayday:Creative Communities:Outdoor Arts in Somerset,"£44,305",22-Feb-22,February,Q4,South West,South Somerset,Combined arts,"Over £15,000"
Gomito Productions,Gomito Theatre 20th Anniversary Activity & Company Development,"£45,000",22-Feb-22,February,Q4,South East,South Cambridgeshire,Theatre,"Over £15,000"
Hampshire Cultural Trust,HCT Winchester,"£100,000",22-Feb-22,February,Q4,South West,Winchester,Visual arts,"Over £15,000"
Black Lives in Music,BLiM presents Stimulate to regenerate,"£30,000",22-Feb-22,February,Q4,London,Camden,Music,"Below £30,000"
Jessica Thanki-Grogan,Funnybones R&D2,"£22,546",22-Feb-22,February,Q4,London,Haringey,Theatre,"Below £30,000"
Issie Barratt,INTERCHANGE: Addressing the gender imbalance in jazz and composition,"£6,888",22-Feb-22,February,Q4,London,Lewisham,Music,"Below £30,000"
Finn Morrell,Temper Theatre: HOLM (Creation and Tour),"£30,000",22-Feb-22,February,Q4,London,Haringey,Theatre,"Below £30,000"
Michael Oladele,Artistic Empowerment and Preservation of Waacking Culture,"£10,150",22-Feb-22,February,Q4,London,Lambeth,Dance,"Below £30,000"
Julia Mucko,Thomas - Access and Tour Planning,"£11,192",22-Feb-22,February,Q4,London,Tower Hamlets,Theatre,"Below £30,000"
Freight Theatre,"Move Fast and Break Things - Rehearsal, performances, educational tool and workshops","£23,295",22-Feb-22,February,Q4,London,Ealing,Theatre,"Below £30,000"
Fay Lomas,Immersive audio - Artist development programme,"£30,000",22-Feb-22,February,Q4,London,Richmond upon Thames,Theatre,"Below £30,000"
Monstro Theatre Ltd,The King of Nothing,"£27,715",22-Feb-22,February,Q4,London,Islington,Theatre,"Below £30,000"
Belarus Free Theatre,Dogs of Europe Wraparound,"£22,840",22-Feb-22,February,Q4,London,Lambeth,Theatre,"Below £30,000"
Sarah Lamb,"Find me, Fool (prev. Tumble, Fool) - London Production","£29,279",22-Feb-22,February,Q4,London,Hackney,Theatre,"Below £30,000"
Alex Etchart,Johnny Barnes: reclaiming proto-trans folk narratives to amplify gender oriented creative development in education,"£29,899",22-Feb-22,February,Q4,London,Hackney,Music,"Below £30,000"
Anastasia Bunce,Blood On Your Hands,"£15,115",22-Feb-22,February,Q4,London,Hounslow,Theatre,"Below £30,000"
Migle Grakauskaite,'Paper Swans' at SPRINT Festival,"£16,320",22-Feb-22,February,Q4,London,Islington,Theatre,"Below £30,000"
Nur Khairiyah Ramli,Patricia Gets Ready : Spring Tour 2022,"£17,591",22-Feb-22,February,Q4,London,Harrow,Theatre,"Below £30,000"
Lata Desai,'Expulsion',"£26,041",22-Feb-22,February,Q4,London,Croydon,Theatre,"Below £30,000"
Drama Arts Limited,"Equality & Diversity in Music | Report, round table, concert & workshop","£26,560",22-Feb-22,February,Q4,London,Ealing,Music,"Below £30,000"
Birmingham Improv C.I.C.,Birmingham Improv Festival 2022,"£28,277",23-Feb-22,February,Q4,Midlands,Birmingham,Theatre,"Below £30,000"
Screaming Alley CIC,Screaming Alley Strategic Development 2022,"£30,000",23-Feb-22,February,Q4,South East,Thanet,Theatre,"Below £30,000"
Samantha Rycroft,Sibling Project (R&D),"£17,238",23-Feb-22,February,Q4,South East,Buckinghamshire,Theatre,"Below £30,000"
Alex Ferguson,A Lovely Word Presents Lpool Poetry Festival,"£21,566",23-Feb-22,February,Q4,North,Liverpool,Literature,"Below £30,000"
Gary Clarke Company Ltd,Organisational Development,"£29,900",23-Feb-22,February,Q4,North,Barnsley,Not discipline specific,"Below £30,000"
Susan Crothers,"Less Alone More Alive - Performance, Training and Workshops","£9,623",23-Feb-22,February,Q4,South East,Thanet,Theatre,"Below £30,000"
Clodagh Chapman,Ladyfriends,"£14,851",23-Feb-22,February,Q4,North,Manchester,Theatre,"Below £30,000"
Sneha Solanki,Eating Things,"£4,720",23-Feb-22,February,Q4,North,North Tyneside,Visual arts,"Below £30,000"
Tatwood Puppets,The Squid and the Sea,"£19,995",23-Feb-22,February,Q4,North,Newcastle upon Tyne,Theatre,"Below £30,000"
Ergon Theatre,Mariner R&D Round 2,"£6,919",23-Feb-22,February,Q4,North,Manchester,Theatre,"Below £30,000"
New Visuality,Make Art out of What You Cannot Leave,"£3,950",23-Feb-22,February,Q4,North,York,Visual arts,"Below £30,000"
The Seagull Lowestoft Community Interest Company,Grassroots Concerts and Support Package,"£33,518",23-Feb-22,February,Q4,South East,East Suffolk,Music,"Below £30,000"
tiny dragon Productins,Space Camp,"£16,742",23-Feb-22,February,Q4,North,Newcastle upon Tyne,Theatre,"Below £30,000"
James Walker,James Walker,"£20,000",23-Feb-22,February,Q4,South East,Reading,Music,"Below £30,000"
Seven Arts Leeds CIC,Seven Sounds,"£20,000",23-Feb-22,February,Q4,North,Leeds,Music,"Below £30,000"
Garlic Theatre,The Nosy Little Troll,"£15,600",23-Feb-22,February,Q4,South East,South Norfolk,Theatre,"Below £30,000"
Kate Golledge,Miss Moore Thought Otherwise,"£21,975",23-Feb-22,February,Q4,South East,Hastings,Theatre,"Below £30,000"
I'm Not From London,Fifty Gigs Around The Sun,"£38,560",23-Feb-22,February,Q4,Midlands,Nottingham,Music,Grassroots Music
Arts on the Run: The Arts & Refugees Hub for Yorkshire & Humberside,Migration Matters Festival 2022,"£78,000",23-Feb-22,February,Q4,North,Sheffield,Combined arts,"Over £15,000"
Knowsley Borough Council,Knowsley's Borough of Culture 2022,"£140,000",23-Feb-22,February,Q4,North,Knowsley,Combined arts,"Over £15,000"
North Somerset Council,Culture Weston Phase 2,"£70,000",23-Feb-22,February,Q4,South West,North Somerset,Combined arts,"Over £15,000"
Sophie Thorpe,Women of the World CREATION,"£49,187",23-Feb-22,February,Q4,Midlands,Gedling,Dance,"Over £15,000"
One Latin Culture Ltd,Developing Latin American Artists,"£39,340",23-Feb-22,February,Q4,North,Liverpool,Theatre,"Over £15,000"
Deborah Dickinson,The Wasteground Circus,"£49,500",23-Feb-22,February,Q4,North,Harrogate,Theatre,"Over £15,000"
Red Bobble Arts,Athena - research and development,"£37,715",23-Feb-22,February,Q4,North,Leeds,Theatre,"Over £15,000"
Encore Enterprises CIC,Social-i-Sing,"£58,100",23-Feb-22,February,Q4,Midlands,"Herefordshire, County of",Music,"Over £15,000"
Middlesbrough Council Cultural Services,Diversity and recovery Middlesbrough Cultural Partnership,"£19,850",23-Feb-22,February,Q4,North,Middlesbrough,Visual arts,"Over £15,000"
Nottinghamshire County Council - Cultural Services,Captivate- Cultural Education Partnership,"£90,000",23-Feb-22,February,Q4,Midlands,Rushcliffe,Combined arts,"Over £15,000"
Silent Uproar Productions,Silent Uproar Moving Forward (Resubmission),"£47,200",23-Feb-22,February,Q4,North,"Kingston upon Hull, City of",Theatre,"Over £15,000"
Birmingham Hippodrome Theatre Trust Ltd,To The Streets,"£109,636",23-Feb-22,February,Q4,Midlands,Birmingham,Theatre,"Over £15,000"
Manchester City Of Literature,Expanding Festival of Libraries for 2022 and beyond,"£94,920",23-Feb-22,February,Q4,North,Manchester,Combined arts,"Over £30,000"
Madeleine Barnes,The Woman in the Film R&D,"£7,483",23-Feb-22,February,Q4,South East,Brighton and Hove,Theatre,"Below £30,000"
Greentop Community Circus Centre,Grow,"£49,686",23-Feb-22,February,Q4,North,Sheffield,Combined arts,"Over £30,000"
Olympias Music Foundation,Migrant Voices,"£49,728",23-Feb-22,February,Q4,North,Manchester,Music,"Over £30,000"
Darren Gooding,Touring Out,"£13,699",23-Feb-22,February,Q4,South East,Colchester,Theatre,"Below £30,000"
OneFest,OneFest 2022,"£52,928",23-Feb-22,February,Q4,Midlands,Mansfield,Combined arts,"Over £30,000"
Festival of Making CIC,Festival of Making 2022,"£96,000",23-Feb-22,February,Q4,North,Blackburn with Darwen,Combined arts,"Over £30,000"
MishMash Music,Projects 2022-23,"£79,491",23-Feb-22,February,Q4,Midlands,Broxtowe,Music,"Over £30,000"
Nicola Dale,Insert Yourself,"£12,285",24-Feb-22,February,Q4,North,Stockport,Visual arts,"Below £30,000"
Rosie Sales,Bonny Chip R&D: A new musical developed with the community of Amble,"£14,968",24-Feb-22,February,Q4,North,Northumberland,Theatre,"Below £30,000"
Marsm,A Season of Music from the Arab World,"£99,783",24-Feb-22,February,Q4,London,Islington,Music,"Over £30,000"
London Youth,Supporting Creative Arts Delivery in London's Youth Organisations,"£31,500",24-Feb-22,February,Q4,London,Hackney,Combined arts,"Over £15,000"
Artistry Youth Dance,Creative Development,"£36,189",24-Feb-22,February,Q4,London,Waltham Forest,Dance,"Over £15,000"
Seethrough Theatre Company,CarnivALL,"£41,000",24-Feb-22,February,Q4,London,Camden,Combined arts,"Over £15,000"
Tàta Storytime,Tàta Storytime series & platform development,"£58,863",24-Feb-22,February,Q4,London,Islington,Literature,"Over £15,000"
Warren Draper,Good Vibrations: Only (Re)Connect,"£6,186",24-Feb-22,February,Q4,North,Doncaster,Combined arts,"Below £30,000"
Tracks,Tracks 2022 - Full Steam Ahead,"£28,890",24-Feb-22,February,Q4,North,Darlington,Music,"Below £30,000"
Chloe Darke,Dirty Corset - Pleasance Theatre Run,"£15,750",24-Feb-22,February,Q4,North,Sunderland,Theatre,"Below £30,000"
Barrow Underground Music Society,Building creative audience confidence,"£24,000",24-Feb-22,February,Q4,North,Barrow-in-Furness,Music,"Below £30,000"
Showponies Ltd,Free Party: A Folk History Exhibition,"£23,000",24-Feb-22,February,Q4,London,Haringey,Combined arts,"Below £30,000"
Cecil Green Arts,Green Light 2022,"£30,000",24-Feb-22,February,Q4,North,Bradford,Combined arts,"Below £30,000"
Mark Bowler,William Blake's Songs of Experience - A Digital Triptych,"£31,263",25-Feb-22,February,Q4,South East,Bedford,Music,"Over £15,000"
Aesop Arts and Society Limited,Aesop Institute development programme,"£45,000",25-Feb-22,February,Q4,South East,West Oxfordshire,Combined arts,"Over £15,000"
Crate Studios & Project Space,Crate Studio & Project Space Programme 2022/23,"£39,382",25-Feb-22,February,Q4,South East,Thanet,Visual arts,"Over £15,000"
International Arts Partnership,UK Audio Drama Festival 2022,"£35,000",25-Feb-22,February,Q4,South East,Wealden,Combined arts,"Over £15,000"
Lyrici Arts,An introduction to Black Theatre,"£58,189",25-Feb-22,February,Q4,South East,Medway,Combined arts,"Over £15,000"
International Festival of Glass,International Festival of Glass 2022,"£223,145",1-Mar-22,March,Q4,South West,Stroud,Visual arts,National Activity Above £100k
Your Next Move,Multi Styles Battles,"£16,505",2-Mar-22,March,Q4,South West,Gloucester,Music,"Below £30,000"
Sam Ruddock,Deception Island touring,"£29,733",2-Mar-22,March,Q4,South East,Norwich,Literature,"Below £30,000"
Unique Community Charity,Snakes & Ladders,"£23,970",2-Mar-22,March,Q4,London,Brent,Combined arts,"Below £30,000"
H2DANCE,Fest en Fest Youth 2022,"£29,900",2-Mar-22,March,Q4,South East,Colchester,Combined arts,"Below £30,000"
Cohere Arts CIC,Witchfinder at Walpole,"£30,850",2-Mar-22,March,Q4,South East,East Suffolk,Theatre,"Below £30,000"
Livia Rita Heim,Wild Card: Futura Glitch,"£29,600",2-Mar-22,March,Q4,South East,Bedford,Combined arts,"Below £30,000"
Hannah Buckley,Hannah Buckley and Hollie Miller Duet,"£18,510",2-Mar-22,March,Q4,North,Leeds,Dance,"Below £30,000"
Ian Nicholson,I WANT MY HAT BACK,"£28,809",2-Mar-22,March,Q4,South West,Portsmouth,Theatre,"Below £30,000"
Georgia Kelly,'blood',"£18,539",2-Mar-22,March,Q4,Midlands,Coventry,Theatre,"Below £30,000"
Stephen Bailey,ASYLUM Arts,"£47,641",2-Mar-22,March,Q4,London,Lambeth,Theatre,"Below £30,000"
Dan Hartland,Birmingham AIDS and HIV Memorial,"£30,000",2-Mar-22,March,Q4,Midlands,Birmingham,Visual arts,"Below £30,000"
Rosa Stourac McCreery,Theatre of the Oppressed in the North East,"£29,995",2-Mar-22,March,Q4,North,Newcastle upon Tyne,Theatre,"Below £30,000"
Short Supply,Short Supply Programme 22-23,"£30,535",2-Mar-22,March,Q4,North,Salford,Visual arts,"Below £30,000"
